batsmen,bowler,balls,delivery,0s,1s,2s,3s,4s,5s,6s
A Ashish Reddy,A Nehra,9,2,1,0,0,0,1,0,0
A Ashish Reddy,A Nehra,9,3,2,0,0,0,1,0,0
A Ashish Reddy,A Nehra,9,4,1,1,0,0,1,0,0
A Ashish Reddy,A Nehra,9,5,1,1,0,0,1,0,0
A Ashish Reddy,A Nehra,9,6,1,1,0,0,1,0,0
A Ashish Reddy,A Nehra,9,7,1,1,0,0,1,0,0
A Ashish Reddy,AB Dinda,7,1,1,1,0,0,1,0,0
A Ashish Reddy,AB Dinda,7,2,1,3,0,0,1,0,0
A Ashish Reddy,AB Dinda,7,4,1,1,0,0,1,0,0
A Ashish Reddy,AB Dinda,7,5,1,1,0,0,1,0,0
A Ashish Reddy,AD Mathews,12,1,1,1,1,0,1,0,0
A Ashish Reddy,AD Mathews,12,2,1,1,1,0,1,0,0
A Ashish Reddy,AD Mathews,12,3,1,1,1,0,1,0,0
A Ashish Reddy,AD Mathews,12,4,1,1,1,0,1,0,1
A Ashish Reddy,AD Mathews,12,5,1,1,1,0,1,0,1
A Ashish Reddy,AD Mathews,12,6,1,1,1,0,1,0,1
A Ashish Reddy,Andre Russell,3,2,1,1,1,0,1,0,1
A Ashish Reddy,Andre Russell,3,4,1,1,1,0,1,0,1
A Ashish Reddy,Andre Russell,3,5,1,1,1,0,1,0,1
A Ashish Reddy,Anureet Singh,2,3,1,1,1,0,1,0,1
A Ashish Reddy,Anureet Singh,2,5,1,1,1,0,1,0,1
A Ashish Reddy,Azhar Mahmood,3,2,1,1,1,0,1,0,1
A Ashish Reddy,Azhar Mahmood,3,4,1,1,1,0,1,0,1
A Ashish Reddy,Azhar Mahmood,3,6,1,1,1,0,1,0,1
A Ashish Reddy,BW Hilfenhaus,2,3,1,1,1,0,1,0,1
A Ashish Reddy,BW Hilfenhaus,2,4,1,1,1,0,1,0,1
A Ashish Reddy,Bhuvneshwar Kumar,1,1,1,1,1,0,1,0,1
A Ashish Reddy,Chris Morris,5,1,1,1,1,0,1,0,1
A Ashish Reddy,Chris Morris,5,4,1,1,1,0,1,0,1
A Ashish Reddy,Chris Morris,5,5,1,1,1,0,1,0,1
A Ashish Reddy,Chris Morris,5,6,1,1,1,1,1,0,1
A Ashish Reddy,Dwayne Bravo,13,1,1,1,1,1,1,0,1
A Ashish Reddy,Dwayne Bravo,13,2,1,1,1,1,1,0,1
A Ashish Reddy,Dwayne Bravo,13,3,1,1,1,1,1,0,1
A Ashish Reddy,Dwayne Bravo,13,4,1,1,1,1,1,0,1
A Ashish Reddy,Dwayne Bravo,13,5,1,1,1,1,1,0,1
A Ashish Reddy,Dwayne Bravo,13,6,1,1,1,1,1,0,1
A Ashish Reddy,Harbhajan Singh,8,2,1,1,1,1,1,0,1
A Ashish Reddy,Harbhajan Singh,8,3,1,1,1,1,1,0,1
A Ashish Reddy,Harbhajan Singh,8,4,1,1,1,1,1,0,1
