batsmen,bowler,1s,2s,3s,4s,5s,6s,wickets
A Dananjaya,Mohammed Shami,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
A Dananjaya,TA Boult,0.4,0.2,0.0,0.0,0.0,0.0,0.0
A Hales,A Mishra,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
A Hales,Avesh Khan,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.0,0.3333333333333333,0.1111111111111111
A Hales,BA Stokes,0.2727272727272727,0.18181818181818182,0.0,0.09090909090909091,0.0,0.2727272727272727,0.09090909090909091
A Hales,D Willey,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.0,0.3333333333333333,0.1111111111111111
A Hales,DL Chahar,0.07692307692307693,0.15384615384615385,0.0,0.07692307692307693,0.0,0.23076923076923078,0.07692307692307693
A Hales,DS Kulkarni,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.2727272727272727,0.09090909090909091
A Hales,DT Christian,0.2,0.2,0.0,0.2,0.0,0.3,0.1
A Hales,GJ Maxwell,0.2,0.2,0.0,0.2,0.0,0.3,0.1
A Hales,HV Patel,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.2727272727272727,0.09090909090909091
A Hales,I Sodhi,0.36363636363636365,0.09090909090909091,0.0,0.18181818181818182,0.0,0.2727272727272727,0.09090909090909091
A Hales,J Archer,0.3,0.1,0.0,0.2,0.0,0.3,0.1
A Hales,JD Unadkat,0.1111111111111111,0.2222222222222222,0.0,0.2222222222222222,0.0,0.3333333333333333,0.1111111111111111
A Hales,K Gowtham,0.26666666666666666,0.13333333333333333,0.0,0.13333333333333333,0.0,0.2,0.06666666666666667
A Hales,L Plunkett,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,0.0,0.3333333333333333,0.1111111111111111
A Hales,M Ali,0.3076923076923077,0.15384615384615385,0.0,0.07692307692307693,0.0,0.23076923076923078,0.07692307692307693
A Hales,M Lomror,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,0.0,0.3333333333333333,0.1111111111111111
A Hales,Mohammed Siraj,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
A Hales,SN Thakur,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
A Hales,TA Boult,0.15384615384615385,0.23076923076923078,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693
A Hales,TG Southee,0.14285714285714285,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285
A Hales,UT Yadav,0.3,0.1,0.0,0.2,0.0,0.1,0.1
A Hales,YS Chahal,0.25,0.125,0.0,0.125,0.0,0.125,0.125
A Mishra,BB Sran,0.5,0.0,0.0,0.0,0.0,0.0,0.0
AB de Villiers,A Mishra,0.45454545454545453,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,0.0
AB de Villiers,AD Russell,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.0
AB de Villiers,AJ Tye,0.4,0.1,0.0,0.0,0.0,0.2,0.1
AB de Villiers,AR Patel,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091
AB de Villiers,B Laughlin,0.375,0.125,0.0,0.125,0.0,0.125,0.125
AB de Villiers,Basil Thampi,0.3333333333333333,0.1111111111111111,0.0,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111
AB de Villiers,CH Morris,0.5555555555555556,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
AB de Villiers,DJ Bravo,0.2,0.2,0.0,0.2,0.0,0.2,0.2
AB de Villiers,HV Patel,0.3333333333333333,0.09523809523809523,0.0,0.23809523809523808,0.0,0.14285714285714285,0.047619047619047616
AB de Villiers,Harbhajan Singh,0.4666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667
AB de Villiers,I Sodhi,0.4,0.13333333333333333,0.0,0.2,0.0,0.13333333333333333,0.06666666666666667
AB de Villiers,Imran Tahir,0.4,0.1,0.0,0.1,0.0,0.2,0.1
AB de Villiers,J Archer,0.3333333333333333,0.08333333333333333,0.0,0.25,0.0,0.16666666666666666,0.08333333333333333
AB de Villiers,J Dala,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.0,0.2222222222222222,0.1111111111111111
AB de Villiers,JD Unadkat,0.4444444444444444,0.1111111111111111,0.0,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111
AB de Villiers,K Gowtham,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666
AB de Villiers,Kuldeep Yadav,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285
AB de Villiers,M Ur Rahman,0.3333333333333333,0.1111111111111111,0.0,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111
AB de Villiers,MG Johnson,0.3,0.1,0.0,0.1,0.0,0.1,0.1
AB de Villiers,MJ McClenaghan,0.2,0.2,0.0,0.2,0.0,0.2,0.2
AB de Villiers,MM Sharma,0.4166666666666667,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333
AB de Villiers,N Rana,0.45454545454545453,0.18181818181818182,0.0,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091
AB de Villiers,PP Chawla,0.25,0.25,0.0,0.25,0.0,0.125,0.125
AB de Villiers,R Ashwin,0.3333333333333333,0.2222222222222222,0.0,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111
AB de Villiers,R Tewatia,0.5,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.07142857142857142
AB de Villiers,RA Jadeja,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111
AB de Villiers,Rashid Khan,0.3076923076923077,0.15384615384615385,0.0,0.07692307692307693,0.0,0.07692307692307693,0.15384615384615385
AB de Villiers,S Gopal,0.4782608695652174,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.08695652173913043
AB de Villiers,S Kaul,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.1111111111111111,0.2222222222222222
AB de Villiers,S Lamichhane,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.0,0.07692307692307693,0.15384615384615385
AB de Villiers,S Nadeem,0.1,0.1,0.1,0.5,0.0,0.1,0.2
AB de Villiers,SN Thakur,0.0625,0.0625,0.0625,0.3125,0.0,0.1875,0.125
AB de Villiers,SP Narine,0.25,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.0,0.08333333333333333,0.16666666666666666
AB de Villiers,SR Watson,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.0,0.07692307692307693,0.15384615384615385
AB de Villiers,Sandeep Sharma,0.4,0.06666666666666667,0.06666666666666667,0.2,0.0,0.06666666666666667,0.13333333333333333
AB de Villiers,Shakib Al Hasan,0.3888888888888889,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.0,0.05555555555555555,0.1111111111111111
AB de Villiers,TA Boult,0.3333333333333333,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.0,0.1111111111111111,0.1111111111111111
AD Nath,I Sodhi,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
AD Nath,J Archer,0.5,0.0,0.0,0.0,0.0,0.0,0.5
AD Nath,JD Unadkat,0.5,0.0,0.0,0.0,0.0,0.0,0.5
AD Nath,M Lomror,0.25,0.25,0.0,0.25,0.0,0.0,0.25
AD Russell,A Mishra,0.4,0.2,0.0,0.0,0.0,0.0,0.2
AD Russell,AJ Tye,0.4444444444444444,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111
AD Russell,AR Patel,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285
AD Russell,Avesh Khan,0.16666666666666666,0.08333333333333333,0.0,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333
AD Russell,B Laughlin,0.4166666666666667,0.08333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333
AD Russell,B Stanlake,0.5,0.1,0.0,0.2,0.0,0.1,0.1
AD Russell,BA Stokes,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666
AD Russell,BB Sran,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285
AD Russell,CH Morris,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666
AD Russell,CR Brathwaite,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666
AD Russell,CR Woakes,0.2,0.1,0.0,0.2,0.0,0.1,0.1
AD Russell,DJ Bravo,0.29411764705882354,0.058823529411764705,0.0,0.11764705882352941,0.0,0.35294117647058826,0.058823529411764705
AD Russell,HH Pandya,0.15384615384615385,0.07692307692307693,0.0,0.15384615384615385,0.0,0.46153846153846156,0.07692307692307693
AD Russell,I Sodhi,0.07142857142857142,0.07142857142857142,0.0,0.14285714285714285,0.0,0.42857142857142855,0.07142857142857142
AD Russell,Imran Tahir,0.25,0.0625,0.0,0.125,0.0,0.375,0.0625
AD Russell,J Archer,0.36363636363636365,0.09090909090909091,0.0,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091
AD Russell,JD Unadkat,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111
AD Russell,JJ Bumrah,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666
AD Russell,L Plunkett,0.2,0.1,0.0,0.1,0.0,0.1,0.1
